"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","伊保崎","伊保",20,25000000,"",125,"","","",105,"2025年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",10,22000000,"",120,"","","",105,"2024年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",20,13000000,"",105,"","","",85,"1999年","木造","","","","公道","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,3100000,"",95,"","","",70,"1975年","木造","","","南東","私道",4,"１中住専",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",25,16000000,"",160,"","","",110,"2010年","木造","","","北西","公道",6,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",20,22000000,"",135,"","","",120,"2008年","木造","","","","",6,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,15000000,"",125,"","","",95,"2008年","木造","","","","",4.7,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町千鳥","荒井(兵庫)",10,3000000,"",50,"","","",70,"1981年","木造","","","北東","",1.9,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","高砂町鍵町","高砂(兵庫)",10,33000000,"",260,"","","",95,"2025年","木造","","","","",5.1,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中筋","曽根(兵庫)",15,8300000,"",130,"","","",90,"1977年","木造","","","南東","公道",5.7,"準住居",70,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",10,7500000,"",120,"","","",100,"1977年","木造","","","南東","私道",4,"１中住専",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",20,1700000,"",190,"","","",200,"戦前","木造","","","北","",1.8,"２低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,4000000,"",95,"","","",65,"1975年","木造","","","南東","私道",5,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,3500000,"",90,"","","",60,"1975年","木造","","","","",7,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,30000000,"",370,"","","",225,"2014年","軽量鉄骨造","","","","",4,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,14000000,"",100,"","","",100,"1997年","木造","","","東","私道",4,"準住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,9900000,"",125,"","","",105,"1995年","木造","","","","","","１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",5,3000000,"",100,"","","",90,"1966年","木造","","","東","私道",3.6,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",5,2400000,"",65,"","","",65,"1971年","木造","","","","",4,"２種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",15,16000000,"",200,"","","",85,"1975年","木造","","","南","公道",5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿",25,5000000,"",120,"","","",95,"1980年","木造","","","北西","公道",7.2,"１中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","","",5000000,"",120,"","","",95,"1976年","木造","","","東","公道",5.2,"１低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)","",22000000,"",100,"","","",100,"2025年","木造","","","南","公道",6.2,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿","30分～60分",31000000,"",170,"","","",140,"2020年","木造","","","","","","１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿",25,6700000,"",100,"","","",90,"1983年","木造","","","東","公道",4.8,"１中住専",70,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿","30分～60分",9600000,"",120,"","","",90,"1987年","木造","","","西","公道",4.2,"１低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿",25,9800000,"",330,"","","",100,"1988年","鉄骨造","","","","",6,"１中住専",60,150,"2025年第2四半期",""
