市,種別,価格（万円）,間取り,専有面積（㎡）,土地面積（㎡）,建物面積（㎡）,築年月,交通,所在地,物件名,URL
明石市,マンション,890.0,4LDK,81.84,,,1984年3月,ＪＲ山陽本線「朝霧」バス8分停歩5分,兵庫県明石市朝霧北町3777-16,シャルムロアイヤル朝霧C3棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78270046/
明石市,マンション,890.0,2LDK,53.35,,,1989年10月,山陽電鉄本線「江井ケ島」徒歩6分,兵庫県明石市大久保町西島,サンエクセル江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78796883/
明石市,マンション,899.0,3LDK,61.85,,,1994年1月,山陽電鉄本線「中八木」徒歩4分,兵庫県明石市大久保町谷八木,プレステージ南大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78539649/
明石市,マンション,899.0,3LDK,61.85,,,1994年1月,山陽電鉄本線「中八木」徒歩3分,兵庫県明石市大久保町谷八木,プレステージ南大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78579353/
明石市,マンション,899.0,3LDK,61.85,,,1994年1月,山陽電鉄本線「中八木」徒歩3分,兵庫県明石市大久保町谷八木,プレステージ南大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20233971/
明石市,マンション,920.0,4LDK,82.29,,,1988年3月,ＪＲ山陽本線「明石」バス14分停歩4分,兵庫県明石市朝霧北町,ベルヴィル朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79180070/
明石市,マンション,949.0,3LDK,70.2,,,1981年10月,ＪＲ山陽本線「明石」徒歩8分,兵庫県明石市大明石町２,第二シャトー明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78839252/
明石市,マンション,950.0,3LDK,76.75,,,1973年8月,ＪＲ山陽本線「朝霧」徒歩5分,兵庫県明石市朝霧南町３,マンション朝霧　２号館,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77673405/
明石市,マンション,950.0,3LDK,70.09,,,1997年8月,ＪＲ山陽本線「魚住」徒歩15分,兵庫県明石市魚住町長坂寺,リベール明石魚住Ⅴ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78944006/
明石市,マンション,970.0,3LDK,60.84,,,2002年2月,ＪＲ山陽本線「土山」徒歩22分,兵庫県明石市魚住町清水,グランプレステージ明石西Ⅲ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78471696/
明石市,マンション,978.0,3LDK,57.45,,,1994年1月,山陽電鉄本線「中八木」徒歩3分,兵庫県明石市大久保町谷八木,プレステージ南大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20213667/
明石市,マンション,980.0,3LDK,67.85,,,1980年2月,山陽電鉄本線「林崎松江海岸」徒歩13分,兵庫県明石市宮の上1-17,ハイラーク明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78453157/
明石市,マンション,980.0,3LDK,63.36,,,1987年2月,山陽電鉄本線「大蔵谷」徒歩22分,兵庫県明石市北朝霧丘１,メゾンドール明石山ノ手台,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20095458/
明石市,マンション,980.0,3LDK,59.45,,,2000年6月,ＪＲ山陽本線「土山」徒歩17分,兵庫県明石市二見町福里,グランプレステージ明石魚住,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20184264/
明石市,マンション,980.0,3LDK,54.26,,,1984年3月,ＪＲ山陽本線「朝霧」バス8分停歩5分,兵庫県明石市朝霧北町3777-16,シャルムロアイヤル朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78223295/
明石市,マンション,980.0,3LDK,63.26,,,1995年3月,ＪＲ山陽本線「朝霧」バス6分停歩5分,兵庫県明石市東山町,ライオンズマンション朝霧北,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20022686/
明石市,マンション,980.0,4LDK,77.04,,,1987年2月,ＪＲ山陽本線「明石」バス15分停歩8分,兵庫県明石市北朝霧丘１,メゾンドール明石山ノ手台Ｂ棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78293303/
明石市,マンション,980.0,3LDK,58.63,,,1996年12月,ＪＲ山陽本線「土山」徒歩10分,兵庫県明石市魚住町清水,プレステージ明石西,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20264519/
明石市,マンション,980.0,3LDK,63.26,,,1995年3月,ＪＲ山陽本線「朝霧」バス12分停歩5分,兵庫県明石市東山町,【特典有】ライオンズマンション朝霧北,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78203629/
明石市,マンション,980.0,4LDK,77.04,,,1987年2月,ＪＲ山陽本線「明石」バス13分停歩8分,兵庫県明石市北朝霧丘１-1629-59,メゾンドール明石山ノ手台B棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77868836/
明石市,マンション,980.0,3LDK,65.52,,,1991年10月,ＪＲ山陽本線「土山」徒歩9分,兵庫県明石市二見町西二見,朝日プラザエルステージ明石　JR土山駅約9分　3LD…,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_73516507/
