"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","東加古川",20,5500000,"",75,"","","",60,"1977年","木造","","","","",5.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","東加古川",25,13000000,"",110,"","","",95,"1994年","木造","","","","",4.3,"１中住専",60,174,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","東加古川",20,7500000,"",135,"","","",150,"1992年","木造","","","北西","私道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","別府町","別府(兵庫)",10,27000000,"",95,"","","",100,"","木造","","","南東","私道",5.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","別府町","別府(兵庫)",10,25000000,"",195,"","","",150,"2005年","軽量鉄骨造","","","北東","公道",7.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","別府町新野辺北町","浜の宮",10,9300000,"",140,"","","",105,"1990年","木造","","","北東","公道",5.1,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","山手","神野",20,24000000,"",185,"","","",100,"2024年","木造","","","南","公道",6.6,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","西条山手","神野",15,19000000,"",240,"","","",165,"1991年","鉄骨造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","新神野","神野",15,18000000,"",255,"","","",125,"1996年","木造","","","東","公道",4.9,"１種住居",60,196,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","30分～60分",22000000,"",290,"","","",130,"1972年","軽量鉄骨造","","","南東","公道",8.3,"２低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,14000000,"",115,"","","",85,"2000年","木造","","","東","公道",5.3,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","別府(兵庫)",25,24000000,"",105,"","","",95,"2016年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","30分～60分",22000000,"",130,"","","",105,"2020年","木造","","","北東","公道",4.3,"２低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",20,15000000,"",135,"","","",90,"1994年","木造","","","南西","公道",4.4,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","別府(兵庫)",20,1900000,"",75,"","","",60,"1972年","木造","","","西","私道",4.2,"１低住専",50,100,"2025年第1四半期",""
