市,取引価格（万円）,種別,価格区分,建築年,延床面積（㎡）,面積（㎡）,地区名,取引時期
高砂市,900.0,戸建て,不動産取引価格情報,1985年,160.0,230.0,伊保崎,2024年第4四半期
高砂市,180.0,戸建て,不動産取引価格情報,1979年,90.0,105.0,伊保崎,2025年第3四半期
高砂市,3400.0,戸建て,不動産取引価格情報,2025年,95.0,220.0,伊保崎,2025年第1四半期
高砂市,780.0,戸建て,不動産取引価格情報,1997年,95.0,120.0,伊保東,2025年第1四半期
高砂市,950.0,戸建て,不動産取引価格情報,1995年,85.0,110.0,今市,2025年第2四半期
高砂市,4400.0,戸建て,不動産取引価格情報,2025年,95.0,130.0,今市,2025年第1四半期
高砂市,2000.0,戸建て,不動産取引価格情報,2025年,100.0,150.0,梅井,2025年第3四半期
高砂市,550.0,戸建て,不動産取引価格情報,1990年,120.0,180.0,梅井,2025年第2四半期
高砂市,1900.0,戸建て,不動産取引価格情報,,50.0,120.0,梅井,2025年第2四半期
高砂市,450.0,戸建て,不動産取引価格情報,1980年,100.0,130.0,梅井,2025年第2四半期
高砂市,2100.0,戸建て,不動産取引価格情報,,,690.0,梅井,2025年第2四半期
高砂市,2400.0,戸建て,不動産取引価格情報,2024年,100.0,115.0,梅井,2025年第1四半期
高砂市,15000.0,戸建て,不動産取引価格情報,,,730.0,春日野町,2024年第4四半期
高砂市,580.0,戸建て,不動産取引価格情報,1979年,110.0,125.0,金ケ田町,2024年第4四半期
高砂市,2200.0,戸建て,不動産取引価格情報,2024年,100.0,155.0,北浜町,2024年第4四半期
高砂市,350.0,戸建て,不動産取引価格情報,1978年,160.0,200.0,北浜町,2025年第3四半期
高砂市,980.0,戸建て,不動産取引価格情報,1979年,280.0,210.0,北浜町,2025年第2四半期
高砂市,400.0,戸建て,不動産取引価格情報,1995年,80.0,125.0,北浜町,2024年第4四半期
高砂市,4100.0,戸建て,不動産取引価格情報,1969年,460.0,,北浜町,2025年第2四半期
高砂市,270.0,戸建て,不動産取引価格情報,1971年,50.0,60.0,時光寺町,2025年第3四半期
高砂市,320.0,戸建て,不動産取引価格情報,1973年,75.0,105.0,時光寺町,2025年第1四半期
高砂市,3800.0,戸建て,不動産取引価格情報,2025年,105.0,170.0,曽根町,2025年第1四半期
高砂市,2900.0,戸建て,不動産取引価格情報,2020年,115.0,130.0,曽根町,2025年第1四半期
高砂市,540.0,戸建て,不動産取引価格情報,1973年,95.0,75.0,曽根町,2024年第4四半期
高砂市,8700.0,戸建て,不動産取引価格情報,2017年,420.0,680.0,曽根町,2024年第4四半期
高砂市,6800.0,戸建て,不動産取引価格情報,2001年,580.0,950.0,曽根町,2024年第4四半期
高砂市,250.0,戸建て,不動産取引価格情報,1980年,70.0,95.0,曽根町,2025年第3四半期
高砂市,1900.0,戸建て,不動産取引価格情報,2024年,95.0,185.0,曽根町,2024年第4四半期
高砂市,150.0,戸建て,不動産取引価格情報,1977年,75.0,80.0,高砂町藍屋町,2024年第4四半期
高砂市,8500.0,戸建て,不動産取引価格情報,2002年,460.0,1400.0,高砂町藍屋町,2024年第4四半期
高砂市,4500.0,戸建て,不動産取引価格情報,2025年,35.0,145.0,高砂町栄町,2024年第4四半期
高砂市,300.0,戸建て,不動産取引価格情報,1955年,210.0,165.0,高砂町東浜町,2024年第4四半期
高砂市,150.0,戸建て,不動産取引価格情報,1995年,70.0,65.0,高砂町南浜町,2025年第1四半期
高砂市,690.0,戸建て,不動産取引価格情報,1979年,120.0,155.0,中島,2025年第2四半期
高砂市,560.0,戸建て,不動産取引価格情報,1989年,90.0,110.0,中島,2024年第4四半期
高砂市,400.0,戸建て,不動産取引価格情報,1976年,65.0,130.0,中島,2025年第2四半期
高砂市,1500.0,戸建て,不動産取引価格情報,2018年,100.0,130.0,中筋,2025年第2四半期
高砂市,290.0,戸建て,不動産取引価格情報,1985年,130.0,155.0,中筋,2025年第1四半期
高砂市,950.0,戸建て,不動産取引価格情報,1980年,120.0,170.0,西畑,2025年第1四半期
高砂市,150.0,戸建て,不動産取引価格情報,1974年,85.0,70.0,緑丘,2025年第2四半期
高砂市,12000.0,戸建て,不動産取引価格情報,1992年,870.0,,美保里,2025年第3四半期
高砂市,310.0,戸建て,不動産取引価格情報,1975年,70.0,90.0,米田町,2025年第3四半期
高砂市,330.0,戸建て,不動産取引価格情報,,,180.0,米田町,2025年第3四半期
高砂市,400.0,戸建て,不動産取引価格情報,1975年,65.0,95.0,米田町,2025年第3四半期
高砂市,550.0,戸建て,不動産取引価格情報,2005年,80.0,90.0,米田町,2025年第3四半期
高砂市,350.0,戸建て,不動産取引価格情報,1975年,55.0,85.0,米田町,2025年第3四半期
高砂市,300.0,戸建て,不動産取引価格情報,1974年,70.0,85.0,米田町,2025年第3四半期
高砂市,3200.0,戸建て,不動産取引価格情報,2025年,90.0,165.0,米田町,2025年第3四半期
高砂市,3300.0,戸建て,不動産取引価格情報,2025年,105.0,125.0,米田町,2025年第3四半期
高砂市,650.0,戸建て,不動産取引価格情報,1987年,105.0,140.0,米田町,2025年第2四半期
高砂市,400.0,戸建て,不動産取引価格情報,1969年,85.0,150.0,米田町,2025年第2四半期
高砂市,3700.0,戸建て,不動産取引価格情報,2025年,100.0,170.0,米田町,2025年第2四半期
高砂市,3300.0,戸建て,不動産取引価格情報,2025年,105.0,140.0,米田町,2025年第2四半期
高砂市,230.0,戸建て,不動産取引価格情報,戦前,140.0,400.0,米田町,2025年第1四半期
高砂市,9800.0,戸建て,不動産取引価格情報,1996年,620.0,1100.0,米田町,2025年第1四半期
高砂市,300.0,戸建て,不動産取引価格情報,,195.0,580.0,米田町,2025年第1四半期
高砂市,1000.0,戸建て,不動産取引価格情報,2006年,100.0,135.0,米田町,2024年第4四半期
高砂市,1800.0,マンション,成約価格情報,2008年,,75.0,高砂町浜田町,2024年第4四半期
高砂市,2500.0,マンション,成約価格情報,2011年,,80.0,高砂町朝日町,2024年第4四半期
高砂市,800.0,マンション,成約価格情報,1989年,,75.0,米田町,2024年第4四半期
高砂市,670.0,マンション,成約価格情報,1989年,,60.0,米田町,2025年第1四半期
高砂市,700.0,マンション,成約価格情報,1989年,,60.0,米田町,2025年第1四半期
高砂市,400.0,マンション,成約価格情報,1985年,,45.0,高砂町朝日町,2025年第2四半期
高砂市,950.0,マンション,成約価格情報,1989年,,65.0,米田町,2025年第2四半期
高砂市,940.0,マンション,成約価格情報,1994年,,70.0,中筋,2025年第3四半期
高砂市,680.0,マンション,成約価格情報,1991年,,70.0,米田町,2025年第3四半期
高砂市,1200.0,マンション,成約価格情報,2001年,,80.0,阿弥陀,2025年第1四半期
加古川市,1100.0,戸建て,成約価格情報,1990年,150.0,200.0,西条山手,2024年第4四半期
加古川市,870.0,戸建て,成約価格情報,1983年,100.0,135.0,野口町,2024年第4四半期
加古川市,450.0,戸建て,成約価格情報,1984年,80.0,80.0,野口町,2024年第4四半期
加古川市,190.0,戸建て,成約価格情報,1992年,85.0,105.0,野口町,2024年第4四半期
加古川市,230.0,戸建て,成約価格情報,1976年,85.0,95.0,野口町,2024年第4四半期
加古川市,550.0,戸建て,成約価格情報,1985年,85.0,100.0,野口町,2024年第4四半期
加古川市,1300.0,戸建て,成約価格情報,1999年,95.0,140.0,野口町,2024年第4四半期
加古川市,900.0,戸建て,成約価格情報,1986年,105.0,190.0,野口町,2024年第4四半期
